Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
181,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-303,1996,7.8,1.67,1.68,1.15,0,0,0.13,0.26,0.13,0.13,0.13,0.13,0,0,0,0,0,Matches
182,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-152,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-237,1997,24.1,3.11,3.12,2.57,0.08,0.04,0.17,0.21,0.04,0.25,0.25,0.12,0,0,0.08,0.04,0,Matches
184,Daniel Podence,pt POR,"MF,FW",Wolves,29-182,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-001,2002,18.4,3.48,3.47,2.01,0,0.49,0.38,0.49,0.11,0.43,0.43,0.16,0,0.16,0.05,0.05,0,Matches
186,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-345,1992,7.5,3.07,3.06,2.13,0.67,0.27,0,0,0,0.4,0.4,0.27,0,0.13,0,0,0,Matches
187,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-055,1998,26.3,3.65,3.65,2.62,0,0.23,0.27,0.53,0,0.34,0.34,0.23,0,0.04,0,0.08,0,Matches
188,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-254,1994,24.7,3.16,3.16,2.83,0.04,0.16,0,0.12,0,0.32,0.32,0.32,0,0,0,0,0,Matches
189,Carlos Soler,es ESP,"MF,FW",West Ham,28-109,1997,15,3.07,3.08,1.93,0.47,0.13,0.33,0.13,0.07,0.13,0.13,0.13,0,0,0,0,0,Matches
190,Willian,br BRA,"MF,FW",Fulham,36-255,1988,1.8,4.44,4.47,3.33,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,Matches
191,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-244,1999,9.9,3.84,3.86,3.13,0,0.3,0.2,0.1,0.1,0.4,0.41,0.4,0,0,0,0,0,Matches
192,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-277,2006,0.3,6.67,6.43,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,Matches
193,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-149,1994,10.3,1.55,1.55,1.17,0,0.1,0.1,0.19,0,0.1,0.1,0.1,0,0,0,0,0,Matches
194,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-056,1994,3.4,1.47,1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Mason Holgate,eng ENG,"FW,DF",Everton,28-181,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-072,2002,5.3,1.7,1.71,1.13,0,0.19,0.19,0.19,0,0,0,0,0,0,0,0,0,Matches
197,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-338,2000,3.6,3.06,3.05,2.22,0,0,0.56,0.28,0,0.83,0.83,0.83,0,0,0,0,0,Matches
198,Tyler Adams,us USA,MF,Bournemouth,26-066,1999,17,2.06,2.06,1.76,0,0,0.06,0,0.24,0.24,0.24,0.18,0,0,0,0,0.06,Matches
199,Asher Agbinone,eng ENG,MF,Crystal Palace,19-205,2005,0.1,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
200,Carlos Alcaraz,ar ARG,MF,Southampton,22-142,2002,0.1,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
